junta_electoral,muni_name,party_acronym_original,party_long,province_id
ARENYS DE MAR,ARENYS DE MAR,ERC-AM,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL,08
ARENYS DE MAR,ARENYS DE MAR,PRIMÀRIES ARENYSDE MAR-PRIMÀRIES CATALUNYA,PRIMÀRIES ARENYS DE MAR-PRIMÀRIES CATALUNYA,08
ARENYS DE MAR,ARENYS DE MAR,PSC-CP,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS,08
ARENYS DE MAR,ARENYS DE MAR,CUP-AMUNT,CANDIDATURA D'UNITAT POPULAR D'ARENYS DE MAR-ALTERNATIVAMUNICIPALISTA,08
ARENYS DE MAR,ARENYS DE MAR,JXA-JXCAT-JUNTS,JUNTS PER ARENYS-JUNTS PER CATALUNYA,08
ARENYS DE MAR,ARENYS DE MAR,AEC,ARENYS EN COMÚ,08
ARENYS DE MAR,ARENYS DE MAR,PP,PARTIDO POPULAR,08
ARENYS DE MAR,ARENYS DE MAR,CS,CIUDADANOS-PARTIDO DE LA CIUDADANIA,08
ARENYS DE MAR,ARENYS DE MUNT,PRIMÀRIES,ARENYS DE MUNT PER LA REPUBLICA-PRIMÀRIES CATALUNYA,08
ARENYS DE MAR,ARENYS DE MUNT,ERC-AM,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL,08
ARENYS DE MAR,ARENYS DE MUNT,PSC-CP,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS,08
ARENYS DE MAR,ARENYS DE MUNT,CUP-AMUNT,CANDIDATURA D'UNITAT POPULAR-ALTERNATIVA MUNICIPALISTA,08
ARENYS DE MAR,ARENYS DE MUNT,JUNTS,JUNTS PER ARENYS DE MUNT,08
ARENYS DE MAR,ARENYS DE MUNT,AM-IDC,ALTERNATIVA MUNICIPAL ARENYS DE MUNT-INDEPENDENTS DE CATALUYNA,08
ARENYS DE MAR,CALELLA,ERC-AM,ESQUERRA REPUBLICANA-ACORD MUNICIPAL,08
ARENYS DE MAR,CALELLA,CEC-EDG,CALELLA EN COMÚ-EN COMÚ GUANYEM,08
ARENYS DE MAR,CALELLA,PSC-CP,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS,08
ARENYS DE MAR,CALELLA,CUP CALELLA-AMUNT,CANDIDATURA D'UNITAT POPULAR DE CALELLA-ALTERNATIVAMUNICIPALISTA,08
ARENYS DE MAR,CALELLA,JUNTS PER CALELLA,JUNTS PER CALELLA,08
ARENYS DE MAR,CALELLA,PODEMOS,PODEMOS,08
ARENYS DE MAR,CALELLA,PP,PARTIDO POPULAR,08
ARENYS DE MAR,CALELLA,CS,CIUDADANOS-PARTIDO DE LA CIUDADANIA,08
ARENYS DE MAR,CAMPINS,ERC-AM,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL,08
ARENYS DE MAR,CAMPINS,CXC-ECG,COMPROMESOS PER CAMPINS-EN COMÚ GUANYEM,08
ARENYS DE MAR,CAMPINS,JUNTS,JUNTS PER CAMPINS,08
ARENYS DE MAR,CANET DE MAR,CANIT-IDC,CANET I TU-INDEPENDENTS DE CATALUNYA,08
ARENYS DE MAR,CANET DE MAR,ERC-AM,ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL,08
ARENYS DE MAR,CANET DE MAR,UDEC,UNIDAD DE CENTRO,08
ARENYS DE MAR,CANET DE MAR,PSC-CP,PARTIT DELS SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS,08
