location_id,muni_name,party_acronym,political_party_slug,political_party_long_name,seats_available,party_seats,rank
01051,Agurain/Salvatierra,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,13,7,1
01001,Alegría-Dulantzi,DTI - AIA,NA,NA,11,6,1
01002,Amurrio,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,17,8,1
01003,Aramaio,EH Bildu,NA,NA,9,7,1
01006,Armiñón,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,5,4,1
01037,Arraia-Maeztu,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,5,1
01008,Arratzua-Ubarrundia,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,4,1
01004,Artziniega,EH Bildu,NA,NA,9,5,1
01009,Asparrena,EH Bildu,NA,NA,9,6,1
01010,Ayala/Aiara,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,11,7,1
01049,Añana,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,5,4,1
01013,Barrundia,EH Bildu,NA,NA,7,5,1
01011,Baños de Ebro/Mañueta,PP,pp,PARTIDO POPULAR,7,4,1
01014,Berantevilla,a.i.b. / b.a.i.,NA,NA,7,4,1
01016,Bernedo,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,5,1
01017,Campezo/Kanpezu,KAIXO,NA,NA,9,6,1
01021,Elburgo/Burgelu,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,5,1
01022,Elciego,ZB,NA,NA,9,7,1
01023,Elvillar/Bilar,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,7,1
01046,Erriberagoitia/Ribera Alta,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,4,1
01056,Harana/Valle de Arana,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,5,4,1
01027,Iruraiz-Gauna,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,4,1
01901,Iruña Oka/Iruña de Oca,PSE-EE (PSOE),NA,NA,11,4,1
01019,Kripan,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,5,5,1
01020,Kuartango,EH Bildu,NA,NA,7,3,1
01028,Labastida/Bastida,PP,pp,PARTIDO POPULAR,9,4,1
01030,Lagrán,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,5,4,1
01031,Laguardia,PP,pp,PARTIDO POPULAR,9,3,1
01032,Lanciego/Lantziego,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,4,1
01902,Lantarón,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,7,4,1
01033,Lapuebla de Labarca,LPA,NA,NA,7,4,1
01036,Laudio/Llodio,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,17,7,1
01058,Legutio,EH Bildu,NA,NA,9,5,1
01034,Leza,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,5,4,1
01039,Moreda de Álava/Moreda Araba,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,5,4,1
01041,Navaridas,PP,pp,PARTIDO POPULAR,5,4,1
