prov_id,location_id,muni_name,party_acronym_original,party_acronym,political_party_slug,political_party_long_name,color,color_hex,seats_available,party_seats,rank,color_string,show
40,40001,Abades,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,7,5,1,otro-1_pp_psoe,TRUE
40,40001,Abades,centrados,centrados,NA,NA,otro-4,#9a6c7d,7,1,2,otro-1_pp_psoe,TRUE
40,40001,Abades,P.S.O.E.,PSOE,psoe,PARTIDO SOCIALISTA OBRERO ESPAÑOL,psoe,#e70000,7,1,3,otro-1_pp_psoe,TRUE
48,48001,Abadiño,EH Bildu,EH BILDU,eh-bildu,EUSKAL HERRIA BILDU,bildu,#A4D700,13,5,1,bildu_ind-c_pnv,TRUE
48,48001,Abadiño,EAJ-PNV,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,pnv,#007E42,13,4,2,bildu_ind-c_pnv,TRUE
48,48001,Abadiño,A.I.,AI,ai,INDEPENDIENTES DE ABADIÑO / ABADIÑOKO INDEPENDIENTEAK,ind-c,#ba9500,13,4,3,bildu_ind-c_pnv,TRUE
31,31001,Abáigar,INDEPENDIENTES POR ABAIGAR,IPA,ind-abaigar,INDEPENDIENTES POR ABAIGAR,ind-nav,#01CFA7,3,3,1,ind-nav,TRUE
20,20001,Abaltzisketa,HERRIGINTZA,HERRIGINTZA,NA,NA,otro-4,#9a6c7d,7,7,1,otro-4,TRUE
30,30001,Abanilla,P.S.O.E.,PSOE,psoe,PARTIDO SOCIALISTA OBRERO ESPAÑOL,psoe,#e70000,13,6,1,otro-4_pp_psoe,TRUE
30,30001,Abanilla,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,13,6,2,otro-4_pp_psoe,TRUE
01,01003,Aramaio,EH Bildu,EH BILDU,eh-bildu,EUSKAL HERRIA BILDU,bildu,#A4D700,9,7,1,bildu_pnv,FALSE
01,01003,Aramaio,EAJ-PNV,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,pnv,#007E42,9,2,2,bildu_pnv,FALSE
30,30001,Abanilla,IUMA,IUMA,iuma,INDEPENDIENTES UNIDOS POR EL MUNICIPIO ABANILLA,otro-4,#9a6c7d,13,1,3,otro-4_pp_psoe,TRUE
01,01004,Artziniega,EH Bildu,EH BILDU,eh-bildu,EUSKAL HERRIA BILDU,bildu,#A4D700,9,5,1,bildu_pnv_pp,FALSE
01,01004,Artziniega,EAJ-PNV,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,pnv,#007E42,9,3,2,bildu_pnv_pp,FALSE
01,01004,Artziniega,PP,PP,pp,PARTIDO POPULAR,pp,#0166dc,9,1,3,bildu_pnv_pp,FALSE
48,48002,Abanto y Ciérvana-Abanto Zierbena,EAJ-PNV,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,pnv,#007E42,13,6,1,bildu_ind-c_pnv_podemos_psoe,TRUE
01,01006,Armiñón,EAJ-PNV,EAJ-PNV,eaj-pnv,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,pnv,#007E42,5,4,1,pnv_pp,FALSE
