color,color_hex
adelante,#1FBF83
ag-1,#7437ff
ag-2,#D3A900
ag-3,#6c9a72
ahora-decide,#A4D700
alt-1,#6C949A
am,#4EB933
amunt,#F5F200
and-x-si,#A4D700
ara,#A4D700
asg,#8e2531
bildu,#A4D700
bng,#68AFE6
c-bierzo,#7ea0ea
cca,#ffe46e
cha,#8e2531
ciuca,#7ea0ea
compromis,#ed7714
cp,#D20000
cs,#feb806
cup,#F5F200
ecg,#A4D700
ecp-ecg,#A22A38
el-pi,#5C0A6E
endavant,#6C7D9A
equo,#004b1e
erc,#f36e22
extremeñus,#A4D700
fac,#00478B
fem,#00478B
fic,#C3CB27
geroa,#FFDB3B
ind-1,#b6007d
ind-c,#ba9500
ind-nav,#01CFA7
iu,#00973D
junts,#e64f80
lavall,#A4D700
mas-madrid,#00F5A3
mes-apib,#C3CB27
navarra-suma,#e64f80
nca,#A4D700
otro-1,#6C949A
otro-2,#6C7D9A
otro-3,#6c9a89
otro-4,#9a6c7d
otro-5,#6c9a72
otro-6,#ed7714
otro-7,#b6007d
otro-8,#D3A900
par,#ed7714
pna,#N/A
pnv,#007E42
podemos,#7E0C6D
pp,#0166dc
ppso,#38A6AF
prc,#B2CF00
prj,#869c00
psoe,#e70000
som,#01CFA7
somos,#01CFA7
ssp-gc,#01CFA7
tega,#43B100
tlp,#01CFA7
tots,#00478B
ucin,#009C47
unix,#9a6c7d
upl,#CB00B0
vox,#36C725
xav,#F8DD00
NA,NA
